Epoch,Loss,Value
10,loss,189.42942328202096
11,recon_loss_0,151.32568359375
11,recon_error_0,17.910359181855853
11,kl_loss,9.107466697692871
11,kl_loss_0,0.0014478258396449842
11,kl_loss_1,1.6171484620947587
11,kl_loss_2,1.8311649121736224
11,kl_loss_3,0.7121984739052621
11,kl_loss_4,0.0015054523552718916
11,kl_loss_5,1.8414439653095447
11,kl_loss_6,1.300662680676109
11,kl_loss_7,1.1084220723101967
11,kl_loss_8,0.6919057996649491
11,kl_loss_9,0.0015668828089378383
11,loss,187.7123469302529
12,recon_loss_0,152.36958991156683
12,recon_error_0,18.150945133633083
12,kl_loss,9.146072334713406
12,kl_loss_0,0.0011661158512449926
12,kl_loss_1,1.6207788387934368
12,kl_loss_2,1.831648760371738
12,kl_loss_3,0.7115109463532766
